n,m,Distribution,Plurality_Distortion_avg,Plurality_Distortion_max,Copeland_Distortion_avg,Copeland_Distortion_max,STV_Distortion_avg,STV_Distortion_max,Borda_Distortion_avg,Borda_Distortion_max,STAR_Distortion_avg,STAR_Distortion_max
1000,10,normal,1.203496253246413,1.9783635658471133,1.0000475889315728,1.0163687079299148,1.057447209721228,1.3139496494623808,1.0094060324405096,1.2969594616623492,1.0112748047797713,1.292542557702793
1000,10,poisson,1.1780160978099579,1.9787087912087915,1.0011008683269536,1.0436817472698907,1.0586238250629103,1.411764705882353,1.0189321212269355,1.249740214755802,1.014397311565858,1.248813559322034
1000,10,uniform,1.2665258267529749,1.9840329929449028,1.0000330031306552,1.0078600261057005,1.0893585034046047,1.4286505508314669,1.0155454127395163,1.5154691241213274,1.004272622543205,1.1033476737055286
1000,15,normal,1.2454248696178971,2.031805631552796,1.000033207109082,1.0059834184214196,1.0636181936592943,1.3054324958209091,1.0071445573028686,1.1644995162146128,1.0120416687593636,1.1620867978097733
1000,15,poisson,1.2193164826087206,1.994471196718388,1.0010773637257964,1.041133771171794,1.062984051544571,1.397444996451384,1.0210513387960303,1.2421108932073452,1.0168651473472603,1.2156761412575363
1000,15,uniform,1.3345567871568305,1.9772707188939505,1.0000361782765939,1.0086291249817183,1.0973330816683686,1.4351791599184394,1.0115333681030607,1.2384933817713242,1.0042786458800963,1.0689365731698837
1000,5,normal,1.088885451048727,1.7486752117396591,1.0000748190801318,1.0156005910914103,1.0310980597576311,1.3086078665959504,1.0109944723253257,1.498713042196244,1.0079710472035213,1.271277310308611
1000,5,poisson,1.0897364820122346,1.6768483165567512,1.0010061192950448,1.0835955056179776,1.035007680833301,1.33794431798284,1.0163479518961647,1.4332916592248617,1.0085075609202736,1.2845244044644344
1000,5,uniform,1.1641268915703604,1.9801757263084685,1.0000655649019117,1.0143853049362863,1.0551341340856382,1.423166502575215,1.0226703770483068,1.5315766384939131,1.003534527967152,1.2025541513368856
n,m,Distribution,,,,,,,,,,
